"word","n"
"#shorten",76
"#smm",76
"#tolerance",76
"#voteno",76
"#glv",75
"#lgbtwedding",75
"#marcorubio",75
"#bigot",74
"#europe",74
"#marriageequalityaus",74
"#media",74
"#wtf",74
"#catholics",73
"#lgtb",73
"#scomophobia",73
"#scotland",73
"#thesoo",73
"#cuba",72
"#hiphop",72
"#lgbtqrights",72
"#lnyhbt",72
"#somebodysignme",72
"#weddingnews",72
"#content",71
"#education",71
"#france",71
"#godlessness",71
"#guam",71
"#india",71
"#lgbtpridemonth",71
"#lovemustwin",71
"#muslim",71
"#sex",71
"#sodom",71
"#gayisok",70
"#ppsellsbabyparts",70
"#samesexparenting",70
"#american",69
"#blog",69
"#christianbigotry",69
"#climate",69
"#comingsoon",69
"#dlstabilità",69
"#patriotbrigade",69
"#scotuswhataboutrightsofchildren",69
"#sf",69
"#washingtonpost",69
"#alabamasupremecourt",68
"#austin",68
"#ccwcpl",68
"#exo",68
"#gaymarriage=samesex",68
"#greece",68
"#malta",68
"#nationwide",68
"#oregon",68
"#podcast",68
"#randpaul",68
"#ssm=samesex",68
"#hnn",67
"#husband",67
"#rednation",67
"#wiright",67
"#evangelicals",66
"#federalappealscourt",66
"#flmarriage",66
"#gayparenting",66
"#gospel",66
"#lds",66
"#liberty",66
"#sault",66
"#senate",66
"#sermon",66
"#weddingphotography",66
"#bankruptcy",65
"#berniesanders",65
"#chooselife",65
"#congress",65
"#deathpenalty",65
"#narrowgate",65
"#republic",65
"#teamgay",65
"#workfromhome",65
"#bobbyjindal",64
"#churches",64
"#iran",64
"#irandeal",64
"#lesbianwedding",64
"#libertarian",64
"#peace",64
"#romance",64
"#sc",64
"#charleston",63
"#engagementring",63
"#lovelayla",63
"#parakeelia",63
"#russia",63
"#wolves",63
"#womensrights",63
"#chuuwee",62
"#gayequality",62
"#health",62
"#homosexualitypictwittercomypzzqsxc4r",62
"#loveforall",62
"#p2b",62
"#slavery",62
"#weddingday",62
"#clarencethomas",61
"#hypocrite",61
"#iraq",61
"#makinghistory",61
"#mardigras2016",61
"#americans",60
"#bankingunion",60
"#dungeonsanddragons",60
"#gaydar",60
"#greens",60
"#hate",60
"#johnkasich",60
"#suicide",60
"#anglicanchurch",59
"#cuteboys",59
"#moiralan",59
"#nra",59
"#oklahoma",59
"#ontario",59
"#photography",59
"#saadeycmsaab",59
"#tips",59
"#tshirts",59
"#venezuela",59
"#birthcontrol",58
"#catholicfaith",58
"#celebration",58
"#change",58
"#gomorrah",58
"#legalization",58
"#publicidad",58
"#catholicblogs",57
"#eldiariovision",57
"#fl",57
"#ggbent",57
"#hope",57
"#ky",57
"#mmg",57
"#shirt",57
"#sodomy",57
"#stabilità2016",57
"#startup",57
"#webmarketing",57
"#civilpartnership",56
"#diseño",56
"#gaypv",56
"#globalwarming",56
"#moving",56
"#whatwouldjesusdo",56
"#yay",56
"#biggovernment",55
"#boycottindiana",55
"#chi",55
"#clinton",55
"#culturevigilante",55
"#feminism",55
"#gonski",55
"#judicialreform",55
"#kansas",55
"#lgbtpride",55
"#polyamory",55
"#rainbowplebiscite",55
"#sticker",55
"#dd21",54
"#dickheadted",54
"#economy",54
"#engaged",54
"#free",54
"#fullimagen",54
"#imwithher",54
"#issues",54
"#jesusistruelove",54
"#legalforall",54
"#mediabias",54
"#naturallaw",54
"#presbyterian",54
"#senbrandis",54
"#stickers",54
"#sxsw",54
"#turc",54
"#zero",54
"#australian",53
"#evangelical",53
"#lovealwayswins",53
"#mannypacquiao",53
"#beautiful",52
"#domainname",52
"#genderequality",52
"#injustice",52
"#judge",52
"#margaretcourt",52
"#medicare",52
"#onlinemarketing",52
"#samesexmarriagebans",52
"#skincancer",52
"#ssmmontacargas",52
"#ssms",52
"#throuple",52
"#ttnss",52
"#uniteright",52
"#abortions",51
"#baltimore",51
"#bride",51
"#civilization",51
"#creativity",51
"#houston",51
"#husbands",51
"#idaho",51
"#kidrock",51
"#privacy",51
"#rt",51
"#selfie",51
"#theirabc",51
"#affordablecareact",50
"#chikungunya",50
"#colorado",50
"#conversations",50
"#ets",50
"#loveisequal",50
"#missouri",50
"#nigeria",50
"#scotuscare",50
"#specialrights",50
"#trump2016",50
"#winner",50
"#bigots",49
"#cesspool",49
"#decisionday",49
"#destin",49
"#israel",49
"#justicekennedy",49
"#kids",49
"#mercadeo",49
"#paris",49
"#ssm2015",49
"#stress",49
"#ycot",49
"#al",48
"#boxing",48
"#civilunion",48
"#couple",48
"#couples",48
"#equalitywins",48
"#immigrationreform",48
"#istanbul",48
"#lovingothers",48
"#plebisciate",48
"#retweet",48
"#suemeethesuemee",48
"#swiftservicemen",48
"#thetwittazine",48
"#vinb",48
"#amazing",47
"#backpacker",47
"#biblicalmarriage",47
"#fail",47
"#gaymafia",47
"#jobs",47
"#lnpfail",47
"#mobile",47
"#rowancounty",47
"#smh",47
"#southdakota",47
"#tech",47
"#utah",47
"#abc",46
"#awesome",46
"#branding",46
"#catholicism",46
"#civilunions",46
"#gayguy",46
"#historic",46
"#lgbthistory",46
"#newyork",46
"#qantas",46
"#rainbowflag",46
"#rainbows",46
"#scottwalker",46
"#socialmediatips",46
"#ukip",46
"#unionicivili",46
"#vote2016",46
"#alabamas",45
"#amnesty",45
"#atlanta",45
"#baltimoreriots",45
"#bernie2016",45
"#bullying",45
"#candidate",45
"#concorsonazionale2016",45
"#contraception",45
"#iowa",45
"#iraqwar",45
"#joshduggar",45
"#kellyfile",45
"#lsfsc",45
"#people",45
"#poll",45
