source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url
Donald J. Trump,,2018-12-28,"Our presence in Syria was not open-ended, and it was never intended to be permanent. Eight years ago, we went there for three months, and we never left. But now we’re doing it RIGHT, and we’re going to finish it off!",34K,29K,430,4.7K,82,28,142,4230,/story.php?story_fbid=10161957338010725&id=153080620724
Donald J. Trump,,2018-12-27,The best way to have peace is STRENGTH.,57K,46K,1K,9.4K,112,24,137,6055,/story.php?story_fbid=10161954842535725&id=153080620724
Donald J. Trump,,2018-12-27,It's all about AMERICA FIRST!,96K,79K,1.2K,15K,135,28,165,7311,/story.php?story_fbid=10161954342570725&id=153080620724
Donald J. Trump,,2018-12-28,"To every American serving at home and abroad, THANK YOU. We are eternally grateful for all that you do to keep America safe, strong, and free!",44K,35K,439,8.6K,65,20,92,3772,/story.php?story_fbid=10161957267925725&id=153080620724
Donald J. Trump,,2018-12-28,We will be forced to close the Southern Border entirely if the Obstructionist Democrats do not give us the money to finish the wall and also change the ridiculous immigration laws that our country is saddled with.,89K,74K,1.3K,12K,215,96,346,17687,/story.php?story_fbid=10161958607230725&id=153080620724
Donald J. Trump,,2019-01-03,We're in a shutdown because Democrats are worried about the 2020 presidential election. They know they can’t win so they are going all out on the desperately needed wall and border security. PURELY POLITICS!,51K,43K,1.3K,4.5K,248,444,910,9270,/story.php?story_fbid=10161983272460725&id=153080620724
Donald J. Trump,,2018-12-26,First Lady Melania Trump and I were honored to visit our incredible troops at Al Asad Air Base in Iraq. GOD BLESS THE U.S.A.!,Yun Kim and 171K others,131K,1.3K,38K,428,43,262,13146,/story.php?story_fbid=10161950598155725&id=153080620724
Donald J. Trump,,2018-12-27,AMERICA IS RESPECTED AGAIN!,Donald J. Trump and 124K others,97K,5.8K,20K,264,69,244,10615,/story.php?story_fbid=10161953467410725&id=153080620724
Donald J. Trump,,2018-12-26,"We are already building and renovating many miles of the wall – some complete. Democrats must end the shutdown and finish funding. Billions of dollars, and lives, will be saved!",46K,38K,793,7.1K,50,20,163,6515,/story.php?story_fbid=10161950021975725&id=153080620724
Donald J. Trump,,2018-12-25,"On behalf of First Lady Melania Trump and myself, Merry Christmas!",437K,345K,2.3K,88K,526,68,323,45447,/story.php?story_fbid=10161927873805725&id=153080620724
Donald J. Trump,,2018-12-26,"The most important way to stop the drugs, gangs, human trafficking, and massive crime is at our southern border. We need border security and you can’t have border security without a WALL!",64K,54K,1K,8.6K,73,31,202,7679,/story.php?story_fbid=10161950010260725&id=153080620724
Donald J. Trump,,2018-12-24,"On behalf of the Trump campaign, we would like to wish every American at home and abroad a very Merry Christmas!",73K,58K,522,13K,83,19,93,7955,/story.php?story_fbid=10161937109580725&id=153080620724
Donald J. Trump,,2018-12-22,Today marks one year since we signed the historic Tax Cuts And Jobs Act into law!,57K,47K,1K,8.1K,100,57,229,6692,/story.php?story_fbid=10161927879745725&id=153080620724
"Donald J. Trump,The White House",The White House,2018-12-23,"The only way to stop drugs, gangs, human trafficking, criminal elements and much else from coming into our country is with a wall or barrier.OUR GREAT COUNTRY MUST HAVE BORDER SECURITY!",84K,71K,1.4K,10K,116,36,236,11396,/story.php?story_fbid=10161935920995725&id=153080620724
Donald J. Trump,,2018-12-22,"We are fighting for America every day, and this week, we delivered a major bipartisan victory for the American people with the passage of the HISTORIC First Step Act!",21K,18K,474,2.7K,49,12,97,3665,/story.php?story_fbid=10161924393280725&id=153080620724
Donald J. Trump,,2018-12-23,"We’re proving the Hollywood elite wrong every day as we continue to accomplish what matters most to the people – tax cuts, deregulation, job creation, judicial appointments, and so much more!",21K,17K,688,2.7K,51,11,87,3996,/story.php?story_fbid=10161937696975725&id=153080620724
Donald J. Trump,,2018-12-20,Thank you to our GREAT Republican Members of Congress for your VOTE to fund Border Security and the Wall. The final numbers were 217-185 and many have said that the enthusiasm was greater than they have ever seen before. So proud of you all. Now on to the Senate!,74K,61K,763,11K,246,33,173,7309,/story.php?story_fbid=10161925972145725&id=153080620724
Donald J. Trump,,2018-12-21,"Democrats, it is time to come together and put the SAFETY of the AMERICAN PEOPLE before POLITICS. Border security must become a #1 priority!",58K,49K,1K,8K,92,20,223,8860,/story.php?story_fbid=10161927350760725&id=153080620724
Donald J. Trump,,2018-12-21,"President Donald J. Trump’s schedule for Friday, December 21st: · Signing ceremony for S. 756, “First Step Act” and H.R. 6964, “Juvenile Justice Reform Act” · Signing ceremony for H.R. 7213, “The Countering Weapons of Mass Destruction Act”",13K,11K,262,1.6K,40,12,59,2336,/story.php?story_fbid=10161926240780725&id=153080620724
Donald J. Trump,,2018-12-21,We must do whatever it takes to protect our people and our communities. Border security and the wall are DESPERATELY NEEDED!,22K,18K,576,2.8K,42,15,129,5013,/story.php?story_fbid=10161927404530725&id=153080620724
Donald J. Trump,,2018-12-21,It’s totally up to the Democrats as to whether or not we have a shutdown.,46K,39K,1.6K,4.9K,179,126,391,12203,/story.php?story_fbid=10161928397625725&id=153080620724
Donald J. Trump,,2018-12-20,Congress just passed the Criminal Justice Reform Bill known as the First Step Act. Congratulations! This is a great bipartisan achievement for everybody. When both parties work together we can keep our country safer. A wonderful thing for the U.S.A.!,26K,22K,296,3.2K,71,17,112,3209,/story.php?story_fbid=10161924503640725&id=153080620724
Donald J. Trump,,2018-12-20,Congress must overcome open borders OBSTRUCTION!,26K,22K,542,3.3K,43,11,81,5583,/story.php?story_fbid=10161912972740725&id=153080620724
Donald J. Trump,,2018-12-20,"After historic victories against ISIS, it’s time to bring our great young people home!",39K,32K,925,6.4K,147,63,292,6648,/story.php?story_fbid=10161923295665725&id=153080620724
Donald J. Trump,,2018-12-20,"So hard to believe that Lindsey Graham would be against saving soldier lives & billions of $$$. Why are we fighting for our enemy, Syria, by staying & killing ISIS for them, Russia, Iran & other locals? Time to focus on our Country & bring our youth back home where they belong!",75K,64K,456,9.3K,731,110,306,8852,/story.php?story_fbid=10161925696750725&id=153080620724
Donald J. Trump,,2018-12-20,We have defeated ISIS in Syria.,47K,38K,3.1K,5.9K,296,64,326,8897,/story.php?story_fbid=10161923064905725&id=153080620724
Donald J. Trump,,2018-12-19,”Prison reform marks yet another WIN for President Trump”  Thank you Alveda King!,35K,31K,501,3.3K,90,34,169,4566,/story.php?story_fbid=10161920500575725&id=153080620724
"Donald J. Trump,The White House",The White House,2018-12-19,"After historic victories against ISIS, it’s time to bring our great young people home!",36K,29K,656,5.6K,141,41,194,5217,/story.php?story_fbid=10161922037035725&id=153080620724
Donald J. Trump,,2018-12-20,"President Donald J. Trump’s schedule for Thursday, December 20th: · Signing ceremony for H.R. 2, the “Agriculture Improvement Act of 2018”",10K,8.6K,265,1.2K,19,16,43,2801,/story.php?story_fbid=10161922131710725&id=153080620724
Donald J. Trump,,2018-12-19,"America is the greatest country in the world and my job is to fight for ALL citizens, even those who have made mistakes. Congratulations to the Senate on the bi-partisan passing of a historic Criminal Justice Reform Bill!",12K,10K,299,1.5K,31,10,69,2454,/story.php?story_fbid=10161919158870725&id=153080620724
Donald J. Trump,,2018-12-19,I look forward to signing the FIRST STEP Act into law!,24K,21K,170,2K,137,47,653,3936,/story.php?story_fbid=10161919782180725&id=153080620724
Donald J. Trump,,2018-12-19,"President Donald J. Trump’s schedule for Wednesday, December 19th: · Lunch with the Secretary of State · Christmas reception",13K,11K,411,1.7K,32,11,48,3337,/story.php?story_fbid=10161919000315725&id=153080620724
Donald J. Trump,,2018-12-18,"Previous administrations failed to stand up to China’s unfair trade practices, but not mine. We are dealing from a position of great strength!",21K,17K,533,2.8K,53,10,47,2734,/story.php?story_fbid=10161915641300725&id=153080620724
Donald J. Trump,,2018-12-18,"President Donald J. Trump’s schedule for Tuesday, December 18th: · Roundtable discussion on the Federal Commission on School Safety report",10K,8.9K,264,1.2K,18,3,34,1966,/story.php?story_fbid=10161914425585725&id=153080620724
Donald J. Trump,,2018-12-18,"I was elected because I work hard, but smart. I love getting things done for the American people and finally seeing our country RESPECTED again!",52K,42K,1.5K,8.7K,73,27,96,7031,/story.php?story_fbid=10161915742545725&id=153080620724
Donald J. Trump,,2018-12-18,We must finish the job that we started by being STRONG at the border.,47K,39K,728,7.1K,72,24,112,7597,/story.php?story_fbid=10161912971325725&id=153080620724
Donald J. Trump,,2018-12-17,I am committed to keeping Americans SAFE. When will the Democrats stop playing politics and start protecting their people?,17K,14K,502,1.9K,42,16,90,3244,/story.php?story_fbid=10161911612860725&id=153080620724
Donald J. Trump,,2018-12-17,No administration has done more in the first two years than the Trump Administration. We’ve accomplished more than anyone thought possible — and we’re still not done!,50K,40K,1.2K,9K,96,19,89,6165,/story.php?story_fbid=10161913175285725&id=153080620724
Donald J. Trump,,2018-12-17,Never in the history of our country has the “press” been more dishonest than it is today.,47K,40K,1.2K,3.3K,230,1K,840,6987,/story.php?story_fbid=10161913178175725&id=153080620724
Donald J. Trump,,2018-12-17,"It's time for us to save billions of dollars a year and have, at the same time, far greater safety and control!",41K,34K,759,5.2K,56,16,117,4729,/story.php?story_fbid=10161911955510725&id=153080620724
Donald J. Trump,,2018-12-17,"""Time magazine was always going to use its 2018 Person of the Year issue as a way of attacking President Donald Trump. That much is clear from the list of finalists...""",22K,12K,1.7K,288,449,829,7.1K,8007,/story.php?story_fbid=10161903575315725&id=153080620724
Donald J. Trump,,2018-12-16,"Democrats want open borders for anyone and anything to come in. I want SECURE borders that keep our citizens safe, keep the criminals OUT, and keep the drugs OUT of our country!",37K,32K,692,4.1K,195,65,327,7231,/story.php?story_fbid=10161903584470725&id=153080620724
Donald J. Trump,,2018-12-16,"Democrats will oppose anything I want, but I want what the American people want, and that’s border security!",35K,29K,764,4.3K,62,36,108,5453,/story.php?story_fbid=10161908871920725&id=153080620724
Donald J. Trump,,2018-12-14,Democrats are ignoring the FACTS about the crisis at our border.  Chuck and Nancy must give us the votes to get border security!,32K,26K,592,1.4K,371,317,3.2K,9952,/story.php?story_fbid=10161899619985725&id=153080620724
Donald J. Trump,,2018-12-16,"The Paris Agreement isn’t working out so well for Paris. People do not want to pay large sums of money, much to third world countries, in order to maybe protect the environment.",48K,42K,2.1K,3.4K,232,82,252,4042,/story.php?story_fbid=10161908599535725&id=153080620724
Donald J. Trump,,2018-12-17,"President Donald J. Trump’s schedule for Monday, December 17th: · Lunch with the Vice President · Meeting with the Secretary of the Interior · Christmas Reception",11K,9.9K,288,1.4K,27,8,34,1976,/story.php?story_fbid=10161911367815725&id=153080620724
Donald J. Trump,,2018-12-14,"Let’s not do a shutdown, Democrats - do what’s right for the American People!",Aric Chen 曉天 and 104K others,89K,1.8K,13K,275,71,299,12116,/story.php?story_fbid=10161899293050725&id=153080620724
Donald J. Trump,,2018-12-13,"With Opportunity Zones, our goal is to ensure that America’s great new prosperity is shared by ALL of our citizens.→ https://bit.ly/2EtU1jE",28K,24K,419,3.4K,65,17,60,2540,/story.php?story_fbid=10161895735245725&id=153080620724
Donald J. Trump,,2018-12-13,"President Donald J. Trump’s schedule for Thursday, December 13th: · Meeting with the Secretary of State · Meeting with Governors-Elect · Christmas reception",13K,11K,300,1.7K,31,13,34,2358,/story.php?story_fbid=10161894838760725&id=153080620724
Donald J. Trump,,2018-12-13,"America is a welcoming country, but we will not allow our generosity to be abused.",64K,52K,643,10K,67,22,111,6601,/story.php?story_fbid=10161896407450725&id=153080620724
Donald J. Trump,,2018-12-13,Happy 382nd Birthday The National Guard. Our entire Nation is forever grateful for all you do 24/7/365. We love you!,28K,24K,165,4K,71,6,32,1870,/story.php?story_fbid=10161896041690725&id=153080620724
Donald J. Trump,,2018-11-02,I love our country and I’m fighting for our country. We have to take care of AMERICA first!,42K,34K,405,7.6K,55,10,75,3749,/story.php?story_fbid=736159436749362&id=153080620724
Donald J. Trump,,2018-11-04,LATINOS POR TRUMP VOTEN REPUBLICANO Senior Advisory John Pence and RNC Hispanic Spokesperson Yali Nunez discuss why Latinos support President Trump and plan to vote REPUBLICAN on Tuesday. Discuten la importancia del apoyo al presidente y el voto republicano para este Martes. En Español with English subtitles,12K,10K,472,1.6K,40,6,40,1660,/story.php?story_fbid=1798197950291488&id=153080620724
Donald J. Trump,,2018-11-06,"We've come so far. Huge economic gains, lowest unemployment in nearly 50 years, and more Americans working than ever before in our HISTORY. If the radical Democrats take power, they will take a giant wrecking ball to the economy and the future of our country!",Jan Morgan and 19K others,15K,374,2.6K,43,7,49,2115,/story.php?story_fbid=563056357480797&id=153080620724
Donald J. Trump,,2018-11-05,"I need strong leaders in Congress like Mike Bishop who will help fulfill my America First agenda, NOT liberal politicians who are funded by Nancy Pelosi! Michigan must VOTE BISHOP tomorrow!",7.8K,6.6K,173,991,21,1,33,1135,/story.php?story_fbid=1831637426934029&id=153080620724
Donald J. Trump,,2018-11-01,"With 6 days to go until the midterms, it's DECISION TIME. We brought in Diamond And Silk to break down what both parties have to offer so you can make the RIGHT choice on Election Day!",12K,10K,336,1.7K,21,5,49,1698,/story.php?story_fbid=246959279508737&id=153080620724
Donald J. Trump,,2018-10-31,"I’m very proud that my administration is filled with so many women of such incredible talent, including my daughter Ivanka. Together, we’re making great progress to ensure that America is a place where women can work, succeed, and thrive like never before!",20K,16K,429,2.9K,28,8,62,1692,/story.php?story_fbid=246154319385888&id=153080620724
Donald J. Trump,,2018-10-25,Don't forget – Republicans gave you the BIGGEST tax cut in the history of our country!,24K,21K,534,2.8K,52,41,167,4027,/story.php?story_fbid=325805021555530&id=153080620724
Donald J. Trump,,2018-10-26,Don’t be complacent. There’s no reason to lose when we have the greatest economy in the history of our country. GO VOTE! vote.donaldjtrump.com,16K,13K,316,2.2K,27,8,66,2519,/story.php?story_fbid=336262927178245&id=153080620724
Donald J. Trump,,2018-10-24,A vote for Ross Spano in FL-15 is a vote for more jobs and bigger paychecks for Florida families! It’s also a vote for a leader who will stand up for our AMERICA FIRST agenda! Vote Spano on Nov. 6th!,8.2K,7K,179,969,10,8,50,1252,/story.php?story_fbid=255101881871360&id=153080620724
Donald J. Trump,,2018-10-16,"They say the party that holds the White House doesn’t do well in the midterms, but we can prove history wrong if EVERY Republican gets out and votes just like we did when we WON in 2016! Do not be complacent! vote.donaldjtrump.com",19K,16K,326,2.4K,32,9,68,4814,/story.php?story_fbid=277955899718504&id=153080620724
Donald J. Trump,,2018-10-13,"When you look at the unemployment numbers, the poverty levels, the median income, you see communities being lifted up all across America. Kanye sees it! Dr. Darrell Scott sees it! Wake up America!",25K,21K,438,3.2K,52,8,47,2277,/story.php?story_fbid=298014081030416&id=153080620724
Donald J. Trump,,2018-10-15,Will be leaving for Florida and Georgia with First Lady Melania Trump to tour the hurricane damage. Everyone is working hard – we will pull through!,19K,15K,160,2.9K,31,14,34,1905,/story.php?story_fbid=1201270880020088&id=153080620724
Donald J. Trump,,2018-10-10,Federal resources are on the ground. We are absolutely ready.,18K,15K,74,2K,75,485,34,1670,/story.php?story_fbid=2155636524723834&id=153080620724
Donald J. Trump,,2018-10-12,I will be visiting both Florida and Georgia early next week. We are working very hard on every area and every state that was hit – we are with you!,17K,14K,75,2.8K,27,27,98,1509,/story.php?story_fbid=569505356812393&id=153080620724
Donald J. Trump,,2018-10-13,"Join me LIVE in Richmond, KY! Great crowd for a #MAGA rally!",63K,41K,788,20K,205,89,533,46493,/story.php?story_fbid=168098567454153&id=153080620724
Donald J. Trump,,2018-10-02,"Join me LIVE in Southaven, MS! Great crowd for a #MAGA rally!",76K,48K,1.2K,25K,290,148,653,65416,/story.php?story_fbid=836629700060037&id=153080620724
Donald J. Trump,,2018-10-04,"Join me LIVE in Rochester, MN! Great crowd for a #MAGA rally!",74K,48K,1K,23K,206,101,681,54903,/story.php?story_fbid=331210490947002&id=153080620724
Donald J. Trump,,2018-09-21,Cindy Hyde-Smith has voted for our agenda in the Senate 100% of the time. She has my complete and total endorsement! We need Cindy to WIN in Mississippi! vote.donaldjtrump.com,13K,11K,228,1.6K,24,11,73,1375,/story.php?story_fbid=1914897168548818&id=153080620724
Donald J. Trump,,2018-09-25,REMEMBER THE MIDTERMS! vote.donaldjtrump.com,23K,19K,403,3K,22,7,49,2789,/story.php?story_fbid=159912594937585&id=153080620724
Donald J. Trump,,2018-10-02,"Democrats have been trying to stop Brett Kavanaugh since before he was even announced. They only know how to obstruct, destroy, and delay!",23K,20K,373,2.3K,66,213,332,3048,/story.php?story_fbid=236244723914717&id=153080620724
Donald J. Trump,,2018-09-17,We’re doing everything we can to support response efforts following Hurricane Florence. We will finish strong!,7.7K,6.6K,190,928,21,9,16,1004,/story.php?story_fbid=717513885265795&id=153080620724
Donald J. Trump,,2018-09-10,"Economic growth is on fire! But if we don’t win in the midterms, Democrats will reverse all of the incredible progress we’ve made.  We can’t let that happen!",16K,14K,524,1.4K,51,24,56,2579,/story.php?story_fbid=2074718002838510&id=153080620724
Donald J. Trump,,2018-09-20,Steel is BACK in a VERY BIG way. Billions of dollars are being spent on new plants all over the country!,32K,28K,548,3.7K,88,11,61,2903,/story.php?story_fbid=325545894690264&id=153080620724
Donald J. Trump,,2018-09-13,My administration is in close coordination with state and local authorities regarding the incoming hurricane. We are ready to help all Americans affected by this crisis and will stay as long as it takes to get the job done!,11K,9.9K,263,1.3K,21,15,38,1455,/story.php?story_fbid=1206702696135195&id=153080620724
Donald J. Trump,,2018-09-18,Thank you to our great U.S. Coast Guard for doing such a tremendous job - thousands of lives being saved!,28K,25K,69,2.9K,657,41,15,1386,/story.php?story_fbid=2169736573282559&id=153080620724
Donald J. Trump,,2018-08-25,Watch this week’s REAL news to learn how I am fighting for you like no president ever has before!,23K,19K,947,3.1K,46,22,122,3926,/story.php?story_fbid=242204089820625&id=153080620724
Donald J. Trump,,2018-08-24,"While we're busy making America great again, Democrats are working overtime to bring America down. They are NO match for my great supporters!",25K,20K,939,3.1K,58,51,123,3571,/story.php?story_fbid=670371650015344&id=153080620724
Donald J. Trump,,2018-08-22,We have almost 400 people in our administration that have been waiting over a year to get approved. This has never happened before in the history of our country. TOTAL DISGRACE!,23K,17K,577,1.2K,615,640,3.1K,4426,/story.php?story_fbid=242429943082005&id=153080620724
Donald J. Trump,,2018-08-31,Our MOVEMENT to Make America Great Again continues!🇺🇸,55K,44K,1.6K,9.1K,90,44,175,5727,/story.php?story_fbid=10161465073905725&id=153080620724
Donald J. Trump,,2018-08-10,RED WAVE!,34K,28K,803,5.6K,85,13,76,3324,/story.php?story_fbid=10161377393220725&id=153080620724
Donald J. Trump,,2018-07-24,"African American, Hispanic American and Asian American unemployment has reached the lowest levels ever recorded. The forgotten men and women of our country are NO LONGER FORGOTTEN!",36K,31K,624,4.5K,149,13,89,3833,/story.php?story_fbid=10161193674145725&id=153080620724
Donald J. Trump,,2018-08-07,Forget the blue wave. There can be a RED WAVE in November – but you have to get out and vote!,22K,19K,496,2.7K,32,10,69,2445,/story.php?story_fbid=10161364498205725&id=153080620724
Donald J. Trump,,2018-07-31,This is why we need BORDER SECURITY!⬇️,37K,28K,525,806,4.5K,827,2.4K,4889,/story.php?story_fbid=10161334599645725&id=153080620724
Donald J. Trump,,2018-07-30,"The Democrats’ strategy of all talk, no action won’t work. Corey Lewandowski and David Bossie know that WINNING means delivering RESULTS! That’s what I’m doing!",15K,13K,431,1.6K,39,10,71,2338,/story.php?story_fbid=10161330772095725&id=153080620724
Donald J. Trump,,2018-08-08,"We’re taking back our wealth, we’re taking back our jobs, and our companies are coming back, because this is where the action is!",43K,36K,653,5.4K,73,14,132,3638,/story.php?story_fbid=10161369903570725&id=153080620724
Donald J. Trump,,2018-07-09,"I’m going to tell NATO you have to start paying your bills. The U.S. is spending far more on NATO than any other country. This is not fair, nor is it acceptable!",31K,26K,447,3.2K,160,72,200,3245,/story.php?story_fbid=10161239001135725&id=153080620724
Donald J. Trump,,2018-07-13,"The United Kingdom and the United States are bound together by a common historic heritage, language, and heroes.",23K,19K,579,2.7K,52,11,91,4021,/story.php?story_fbid=10161257131075725&id=153080620724
Donald J. Trump,,2018-07-07,We will NOT stand for these vile Democrat smears against our law enforcement. We will always stand proudly with the BRAVE HEROES of ICE and BORDER PATROL!,47K,40K,661,6.4K,130,51,289,5236,/story.php?story_fbid=10161226358275725&id=153080620724
Donald J. Trump,,2018-07-16,"Today’s meeting is only the beginning of a longer process, but we have taken the first step toward a brighter future, and one with a strong dialogue and a lot of thought.",34K,29K,694,4.4K,89,31,464,7239,/story.php?story_fbid=10161270654290725&id=153080620724
Donald J. Trump,,2018-07-12,Great success today at NATO! Billions of additional dollars paid by members since my election. Great spirit!,27K,23K,620,3.2K,77,13,75,2656,/story.php?story_fbid=10161252482280725&id=153080620724
Donald J. Trump,,2018-06-22,"In just six months, more than 600 companies have given out bonuses or pay raises as a result of our HISTORIC tax cuts! We're just getting started!",35K,29K,1K,4.3K,239,33,297,5145,/story.php?story_fbid=10161167883530725&id=153080620724
Donald J. Trump,,2018-06-06,"Today it was my great honor to sign the #VAMissionAct, making veterans choice the permanent law of the land! http://45.wh.gov/dyWJNq",35K,30K,149,5.4K,67,6,40,2284,/story.php?story_fbid=10161097853285725&id=153080620724
Donald J. Trump,,2018-06-08,"For years and years, countries have been taking advantage of the United States on trade. We're going to straighten that out.",86K,72K,1K,7.8K,3.8K,158,1.1K,10136,/story.php?story_fbid=10161106374015725&id=153080620724
Donald J. Trump,,2018-07-05,"Join me LIVE in Great Falls, MT! Great crowd for a #MAGA rally!",88K,58K,1.4K,26K,284,127,885,64917,/story.php?story_fbid=10161223649145725&id=153080620724
Donald J. Trump,,2018-06-29,"I'd like to address the horrific shooting that took place yesterday at Capital Gazette newsroom in Annapolis, Maryland. This attack shocked the conscience of our nation, and filled our hearts with grief...",18K,13K,106,1.3K,68,3.3K,171,2672,/story.php?story_fbid=10161197180780725&id=153080620724
Donald J. Trump,,2018-06-02,Watch this week's Real News Update to hear how America is truly WINNING again!,19K,16K,482,2.6K,38,16,87,3202,/story.php?story_fbid=10161078196530725&id=153080620724
Donald J. Trump,,2018-06-05,Today at 3 PM we will put our hands on our hearts for the Pledge of Allegiance and all PROUDLY STAND for the National Anthem! No NFL escaping to locker rooms!,95K,77K,1.4K,16K,103,33,232,7443,/story.php?story_fbid=10161091754160725&id=153080620724
Donald J. Trump,,2018-05-23,"There will be BIG news coming soon for our great American autoworkers. After many decades of losing your jobs to other countries, you have waited long enough!",23K,19K,392,2.8K,89,10,55,2301,/story.php?story_fbid=10161038480330725&id=153080620724
Donald J. Trump,,2018-05-29,"Join me LIVE in Nashville, Tennessee! Great crowd for a #MAGA rally!",83K,52K,1.3K,28K,324,156,1K,65745,/story.php?story_fbid=10161062539000725&id=153080620724
Donald J. Trump,,2018-05-19,"I will always stand by our allies, stand up for our law enforcement, and stand with the American people.",18K,16K,332,2.4K,36,10,82,2393,/story.php?story_fbid=10161017884515725&id=153080620724
Donald J. Trump,,2018-05-14,"The unemployment rate is at the LOWEST level since the turn of the century. You'd think Democrats would celebrate such good news for our workers, but they can't stand to give us credit!",24K,21K,526,2.7K,85,41,121,2993,/story.php?story_fbid=10161002792125725&id=153080620724
Donald J. Trump,,2018-05-07,The Russia WITCH HUNT is rapidly losing credibility. The 13 angry Democrats in charge are starting to find out that there is a court system in place that actually protects people from injustice!,37K,32K,1.1K,3.4K,97,24,141,4236,/story.php?story_fbid=10160974265555725&id=153080620724
Donald J. Trump,,2018-05-11,I support Bill Schuette for Governor of the great state of Michigan! He will be a fantastic leader and BIG help in accomplishing our MAGA agenda. VOTE Schuette on August 7th!,12K,11K,218,1.2K,15,20,62,1636,/story.php?story_fbid=10160990508390725&id=153080620724
Donald J. Trump,,2018-04-27,Tomorrow night I'm skipping the Fake News Prom (White House Correspondents' Dinner) to be with American patriots who truly want to MAGA! Tune in at 7pm to watch the rally LIVE on Facebook!,61K,48K,3.8K,8.1K,137,48,152,5840,/story.php?story_fbid=10160932294590725&id=153080620724
Donald J. Trump,,2018-05-11,This is truly an exciting time for our country. Many people have never felt prouder to be an American! #MAGA,56K,47K,735,7.8K,250,40,155,4019,/story.php?story_fbid=10160990384895725&id=153080620724
Donald J. Trump,,2018-04-18,The U.S. remains committed to strengthening its deep and long-lasting relationship with the Baltic nations. Friends and allies around the world know they can count on us!,13K,11K,338,1.3K,26,7,45,1314,/story.php?story_fbid=10160894709305725&id=153080620724
Donald J. Trump,,2018-04-18,"There is a REVOLUTION going on in California. Soooo many Sanctuary areas want OUT of this ridiculous, crime infested & breeding concept. The people of the State are not happy!",57K,51K,1.3K,4.4K,391,95,258,4994,/story.php?story_fbid=10160897666240725&id=153080620724
Donald J. Trump,,2018-04-25,"Did you know that at the current rate, it would take 9 YEARS for all of my appointments to get confirmed by Senate? Watch for more from former Press Secretary for Vice President Mike Pence, Marc Lotter.",14K,9.6K,268,482,1K,488,3K,3120,/story.php?story_fbid=10160924721065725&id=153080620724
Donald J. Trump,,2018-04-21,"Another week of Promises Made, Promises Kept. Watch this week's REAL news!",27K,23K,598,3K,59,12,83,3221,/story.php?story_fbid=10160909851165725&id=153080620724
Donald J. Trump,,2018-04-06,"Companies are coming back, jobs are coming back, and millions of American workers are seeing bigger paychecks – all thanks to our historic TAX CUTS!",31K,27K,682,3.5K,68,19,101,3720,/story.php?story_fbid=10160847411565725&id=153080620724
Donald J. Trump,,2018-04-04,"We are not in a trade war with China, that war was lost many years ago by the foolish, or incompetent, people who represented the U.S. Now we have a Trade Deficit of $500 Billion a year, with Intellectual Property Theft of another $300 Billion. We cannot let this continue!",41K,36K,661,3.6K,295,59,174,4391,/story.php?story_fbid=10160839213785725&id=153080620724
Donald J. Trump,,2018-04-15,"This week I took bold action to stop the use of chemical weapons, and called on all civilized nations to join us in seeking to end the slaughter and bloodshed in Syria.",27K,22K,1K,2.6K,82,101,599,6162,/story.php?story_fbid=10160884937805725&id=153080620724
Donald J. Trump,,2018-04-17,Our country is really starting to rock with businesses pouring back in. There’s never been a better time to HIRE and INVEST in AMERICA!,35K,31K,793,3.7K,67,16,111,2919,/story.php?story_fbid=10160889998060725&id=153080620724
Donald J. Trump,,2018-04-12,"The years of failed American leadership are OVER. When it comes to national security, the tougher the better! We will deliver SAFETY and SECURITY.",23K,19K,917,2.4K,58,21,188,3758,/story.php?story_fbid=10160873883775725&id=153080620724
,,"Mar,23,,2018",,43K,37K,658,4.8K,99,26,149,,/DonaldTrump/albums/10160782630980725
Donald J. Trump,,2018-03-24,"No one gets left behind. I am committed to helping ALL Americans achieve the American dream, including our farmers, small businesses, and great veterans!",17K,14K,467,1.9K,31,15,114,3168,/story.php?story_fbid=10160778803710725&id=153080620724
Donald J. Trump,,2018-03-22,Kim Jong-un finally comes to the negotiating table and the Fake News Media has a meltdown. Talks are a good thing! We are winning!,28K,24K,830,2.7K,110,16,70,3188,/story.php?story_fbid=10160772713355725&id=153080620724
Donald J. Trump,,2018-03-23,"To prevent the omnibus situation from ever happening again, I'm calling on Congress to give me a line-item veto for all government spending bills.",22K,17K,464,1.8K,128,217,1.8K,9010,/story.php?story_fbid=10160781576910725&id=153080620724
Donald J. Trump,,2018-03-21,"I called President Putin of Russia to congratulate him on his election victory (in past, Obama called him also). The Fake News Media is now crazed…Getting along with Russia (and others) is a good thing, not a bad thing. PEACE THROUGH STRENGTH!",73K,65K,1.3K,6.4K,143,38,315,9378,/story.php?story_fbid=10160771537735725&id=153080620724
Donald J. Trump,,2018-03-21,"The Democrats think they’re invincible, but we’re going to defy the predictions once again — We will KEEP the House majority and we will keep FIGHTING for the American people!",30K,25K,768,3.5K,73,44,207,8349,/story.php?story_fbid=10160771597290725&id=153080620724
Donald J. Trump,,2018-02-27,This is a time of great opportunity for our country. We’re setting records!,23K,19K,540,2.7K,92,10,81,3893,/story.php?story_fbid=10160656061450725&id=153080620724
