source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url
Donald J. Trump,,2019-02-18,America will NEVER be a socialist country. Obstructionist Democrats will not have it their way!,10K,8K,422,1.3K,60,33,119,2161,/story.php?story_fbid=10162166566925725&id=153080620724
Donald J. Trump,,2019-02-18,"The United States stands with the Venezuelan people in their quest for liberty, prosperity and democracy!",22K,18K,379,3.4K,49,10,64,2964,/story.php?story_fbid=10162179533895725&id=153080620724
Donald J. Trump,,2019-02-19,"President Donald J. Trump's schedule for Tuesday, February 19th: -Meeting with the Secretary of State -Meeting with the Secretary of Homeland Security -Lunch with the Vice President -Signing ceremony for Space Policy Directive 4",9.8K,8.2K,263,1.3K,29,6,17,2089,/story.php?story_fbid=10162181285030725&id=153080620724
Donald J. Trump,,2019-02-17,I fight every day to uphold American values. But the Democrats want to see me fail rather than see America succeed!,32K,26K,651,2.6K,150,2.4K,619,5303,/story.php?story_fbid=10162169107035725&id=153080620724
Donald J. Trump,,2019-02-18,"President Donald J. Trump’s schedule for Monday, February 18th: -Deliver remarks to the Venezuelan American community",10K,8.1K,415,1.4K,34,7,35,2416,/story.php?story_fbid=10162177314520725&id=153080620724
Donald J. Trump,,2019-02-16,Angel Moms have been with me since the beginning of my campaign. They understand the danger of open borders.,25K,20K,384,3.7K,40,253,79,4221,/story.php?story_fbid=10162166530295725&id=153080620724
Donald J. Trump,,2019-02-18,"In just these last few weeks, Americans understand better than ever why we need a wall at the southern border!",17K,14K,538,2.1K,35,8,68,2849,/story.php?story_fbid=10162174131080725&id=153080620724
Donald J. Trump,,2019-02-17,Ivanka Trump women’s initiative a step toward ‘America First’ foreign policy.,22K,19K,631,2.4K,57,14,78,2015,/story.php?story_fbid=10162174517235725&id=153080620724
Donald J. Trump,,2019-02-18,Happy Presidents' Day! #PresidentsDay2019,Markwayne Mullin and 218K others,177K,2.8K,38K,184,60,242,16291,/story.php?story_fbid=10162178744905725&id=153080620724
Donald J. Trump,,2019-02-16,Protection for American families is my highest priority. Walls work and will keep us safe!,98K,79K,508,6.1K,224,11K,689,6212,/story.php?story_fbid=10162169751605725&id=153080620724
Donald J. Trump,,2019-02-16,Many presidents before me have signed National Emergency declarations. What I signed yesterday will keep Americans safe from an invasion of our country!,55K,44K,837,9K,88,31,225,7228,/story.php?story_fbid=10162166512895725&id=153080620724
Donald J. Trump,,2019-02-16,This was a week of Making America Safe and Making America Prosperous!,17K,14K,502,2.4K,36,19,58,2276,/story.php?story_fbid=10162166806470725&id=153080620724
Donald J. Trump,,2019-02-15,"Today, I announced a National Emergency to help secure and control our southern border. This is a National Security crisis and I am solving it quickly!",85K,69K,1.1K,15K,145,45,429,12668,/story.php?story_fbid=10162166441755725&id=153080620724
